USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Louisville Slugger,FPXND8-21,Xeno (-8),3/4/2022
,Louisville Slugger,FPXND8-22,Xeno (-8),3/13/2024
,Louisville Slugger,FPXND8-24,Xeno (-8),3/13/2024
,Louisville Slugger,FPXND8-25,2025 Xeno (-8),11/18/2023
,Louisville Slugger,FPXND9-20,XENO X20 (-9),3/18/2019
,Louisville Slugger,FPXND9-21,Xeno (-9),3/4/2022
,Louisville Slugger,FPXND9-22,Xeno (-9),3/4/2022
,Louisville Slugger,FPXND9-24,Xeno (-9),5/13/2023
,Louisville Slugger,FPXND9-25,2025 Xeno (-9),11/18/2023
,Louisville Slugger,FPXQ,TPS Quest,6/10/2009
,Louisville Slugger,FPXT,TPS Triton,6/10/2009
,Louisville Slugger,FPXT8,TPS Triton,6/10/2009
,Louisville Slugger,FPXY,TPS Mystic,6/10/2009
,Louisville Slugger,FPXZ,TPS Zephyr,6/10/2009
,Louisville Slugger,FRRXD10-21,RXT (-10),3/4/2022
,Louisville Slugger,ISBRAUP-20,Reaction Dual Stamp PL,2/2/2024
,Louisville Slugger,KFP12Q,TPS Quest,12/14/2010
,Louisville Slugger,LFPKR2EMD10L-27,2027 KRYO2 EMPRESS (-10),3/12/2026
,Louisville Slugger,LFPKR2EMD10S-27,2027 KRYO2 EMPRESS (-10),3/12/2026
,Louisville Slugger,LFPKR2EMD11L-27,2027 KRYO2 EMPRESS (-11),3/12/2026
,Louisville Slugger,LFPKR2EMD11S-27,2027 KRYO2 EMPRESS (-11),3/12/2026
,Louisville Slugger,LFPKR2EMD8-27,2027 KRYO2 EMPRESS (-8),3/12/2026
,Louisville Slugger,LFPKR2EMD9-27,2027 KRYO2 EMPRESS (-9),3/12/2026
,Louisville Slugger,LFPKRLTMD10L-26,2026 Kryo (-10) 2026 Kryo (-10) Love The Moment,11/16/2025
,Louisville Slugger,LFPKRLTMD10S-26,2026 Kryo (-10) 2026 Kryo (-10) Love The Moment,11/16/2025
,Louisville Slugger,LFPKRLTMD11L-26,2026 Kryo (-11) 2026 Kryo (-11) Love The Moment,11/16/2025
,Louisville Slugger,LFPKRLTMD11S-26,2026 Kryo (-11) Love The Moment,11/16/2025
,Louisville Slugger,LFPKRLTMD8-26,2026 Kryo (-8) Love The Moment,11/16/2025
,Louisville Slugger,LFPKRLTMD9-26,2026 Kryo (-9) 2026 Kryo (-9) Love The Moment,11/16/2025
,Louisville Slugger,LFPKRPD10L-26,2026 Kryo (-10) Thundernight,3/19/2025
,Louisville Slugger,LFPKRPD10S-26,2026 Kryo (-10) Thundernight,3/19/2025
,Louisville Slugger,LFPKRPD11L-26,2026 Kryo (-11) Thundernight,3/19/2025
,Louisville Slugger,LFPKRPD11S-26,2026 Kryo (-11) Thundernight,3/19/2025
,Louisville Slugger,LFPKRPD8-26,2026 Kryo (-8) Thundernight,3/19/2025
,Louisville Slugger,LFPKRPD9-26,2026 Kryo (-9) Thundernight,3/19/2025
,Louisville Slugger,LFPKRWD10-25,2025 Kryo LTD (-10) (Frost),11/19/2024
,Louisville Slugger,LFPKRWD11-25,2025 Kryo LTD (-11) (Frost),11/19/2024
,Louisville Slugger,LFPLX2D10-23,2022 LXT LTD (-10),8/17/2022
,Louisville Slugger,LFPLX2D11-23,2022 LXT LTD (-11),8/17/2022
,Louisville Slugger,LFPLXUD10-21,LTD LXT - USA Olympics,3/27/2020
,Louisville Slugger,LFPMX2D10-23,Meta FP (-10),5/13/2023
,Louisville Slugger,LFPMX2D11-23,Meta FP (-11),5/13/2023
,Louisville Slugger,LFPMX2D8-23,Meta FP (-8),5/13/2023
,Louisville Slugger,LFPMX2D9-23,Meta FP (-9),5/13/2023
,Louisville Slugger,LFPPXD10-20,LTD PXT,11/1/2019
,Louisville Slugger,Lisa Bottle,(Lisa),8/13/2008
,Louisville Slugger,LSCSPTPZAB-20,TPZ BAL,3/4/2022
,Louisville Slugger,LSCSPTPZAE-20,TPZ EL,3/4/2022
,Louisville Slugger,LXNTWD10-20,LTD Xeno Twilight (-10),7/19/2019
,Louisville Slugger,MSB3,Maple Wood,5/20/2025
,Louisville Slugger,PLXB8-22,LXT (-8),3/4/2022
,Louisville Slugger,SASB78V,,8/13/2008
,Louisville Slugger,SB103,Genesis with ASA Recert. Mark,8/19/2008
,Louisville Slugger,SB11G,Louisville Slugger Genesis,4/13/2010
,Louisville Slugger,SB11Z,TPS Z-1000,6/10/2010
,Louisville Slugger,SB12A,Louisville Slugger Armor,5/4/2011
,Louisville Slugger,SB12G,Louisville Slugger Genesis,5/4/2011
,Louisville Slugger,SB12W,TPS Warrior,5/4/2011
,Louisville Slugger,SB12ZAB,TPS Z1000,5/4/2011
,Louisville Slugger,SB12ZAE,TPS Z-1000,7/27/2011
,Louisville Slugger,SB13ZAB,TPS Z2000 (Balanced),6/19/2012
,Louisville Slugger,SB13ZAE,TPS Z2000 (End Load),6/19/2012
,Louisville Slugger,SB18,Air Attack 2,8/19/2008
,Louisville Slugger,SB19,TPS Power Dome,8/13/2008
,Louisville Slugger,SB2,Dirk Androff,8/13/2008
,Louisville Slugger,SB20,,8/19/2008
,Louisville Slugger,SB203,TPS Gen1X XXL,6/14/2007
,Louisville Slugger,SB206,,8/19/2008
,Louisville Slugger,SB22,TPS Air Attack 3,8/19/2008
,Louisville Slugger,SB23,TPS Gold,8/13/2008
,Louisville Slugger,SB24,AS Louisville Slugger,8/13/2008
,Louisville Slugger,SB25,Louisville Slugger,8/13/2008
,Louisville Slugger,SB26,,8/19/2008
,Louisville Slugger,SB27,,8/13/2008
,Louisville Slugger,SB29,,8/19/2008
,Louisville Slugger,SB3,Ritch's Superior,6/14/2007
,Louisville Slugger,SB30,,8/19/2008
,Louisville Slugger,SB303,,8/19/2008
,Louisville Slugger,SB306,TPS Dynasty XXL,8/13/2008
,Louisville Slugger,SB31,,8/13/2008
,Louisville Slugger,SB36,,8/19/2008
,Louisville Slugger,SB37,,8/19/2008
,Louisville Slugger,SB38,,8/13/2008
,Louisville Slugger,SB39,AS,8/19/2008
,Louisville Slugger,SB4,PowerDome,8/13/2008
,Louisville Slugger,SB40,,8/13/2008
,Louisville Slugger,SB406,TPS Dynasty Powerdome,8/13/2008
,Louisville Slugger,SB5,Gold,8/13/2008
,Louisville Slugger,SB504,,8/19/2008
,Louisville Slugger,SB505,,8/19/2008
,Louisville Slugger,SB604,,8/13/2008
,Louisville Slugger,SB704,,8/19/2008
,Louisville Slugger,SB705,TPS Warrior Balanced,8/13/2008
,Louisville Slugger,SB705A,TPS Warrior XXL Balanced,8/13/2008
,Louisville Slugger,SB74X,TPS Dynasty XXL,8/13/2008
,Louisville Slugger,SB75P,TPS Dynasty Powerdome,8/13/2008
,Louisville Slugger,SB76W,TPS Warrior,8/19/2008
,Louisville Slugger,SB77S,Samurai,8/13/2008
,Louisville Slugger,SB78S,Slash,8/13/2008
,Louisville Slugger,SB804AS,,8/19/2008
,Louisville Slugger,SB805,TPS Warrior End Loaded,8/13/2008
,Louisville Slugger,SB806,,8/13/2008
,Louisville Slugger,SB814R,TPS Responsive Composite,8/13/2008
,Louisville Slugger,SB81N,,8/19/2008
,Louisville Slugger,SB81N,,8/19/2008
,Louisville Slugger,SB82NJM2,Jessica Mendoza 2008,8/13/2008
,Louisville Slugger,SB83V,TPS Voltage Composite-Blue,8/13/2008
,Louisville Slugger,SB84H,TPS Maverick,11/30/2009
,Louisville Slugger,SB84M,,8/13/2008
,Louisville Slugger,SB85W,TPS Warrior,8/19/2008
,Louisville Slugger,SB86S,TPS Samurai,8/19/2008
,Louisville Slugger,SB87GS,,8/19/2008
,Louisville Slugger,SB905,,8/19/2008
,Louisville Slugger,SB91T,TPS Triton,11/19/2008
,Louisville Slugger,SB94C,TPS Catalyst,11/30/2009
,Louisville Slugger,SBAS24UA,Geneis Alloy Dual Stamp EL,2/2/2024
,Louisville Slugger,SBE54,,11/6/2008
,Louisville Slugger,SBE96,SOLO,2/12/2016
,Louisville Slugger,SBE97,XXL,2/12/2016
,Louisville Slugger,SBGD16,Louisville Slugger Gold,4/1/2016
,Louisville Slugger,SBSZ16A-B,Super Z Balanced,6/10/2015
,Louisville Slugger,SBSZ16A-E,Super Z End Loaded,6/10/2015
,Louisville Slugger,SBVA15U,Vapor,1/7/2015
,Louisville Slugger,SBVTSE,Voltage,8/13/2015
,Louisville Slugger,SBWR14-RR,Warrior,7/24/2013
,Louisville Slugger,SBXA,Louisville Slugger Armor,6/10/2009
,Louisville Slugger,SBXC,TPS Catalyst,11/30/2009
,Louisville Slugger,SBXG,Louisville Slugger Genesis,6/10/2009
,Louisville Slugger,SBXH2D,TPS H2 XXL,8/27/2009
,Louisville Slugger,SBXH2S,TPS H2S,8/27/2009
,Louisville Slugger,SBXTA,TPS Triton,6/10/2009
,Louisville Slugger,SBXV,TPS Voltage II,6/10/2009
,Louisville Slugger,SBXW,TPS Warrior,6/10/2009
,Louisville Slugger,SBZ214-AB,Z-2000 (Balanced),7/24/2013
,Louisville Slugger,SBZ214-AE,Z-2000 (End Loaded),7/24/2013
,Louisville Slugger,SBZ215A-B,Z2000 (Balanced),3/4/2014
,Louisville Slugger,SBZ215A-E,Z200 (End Load),3/4/2014
,Louisville Slugger,SBZ314-AB,Z-3000 (Balanced),9/25/2013
,Louisville Slugger,SBZ314-AE,Z-3000 (End Load),9/25/2013
,Louisville Slugger,SBZ416A-B,Z-4000 (Balanced),12/5/2014
,Louisville Slugger,SBZ416A-E,Z-4000 (End Load),12/5/2014
,Louisville Slugger,SP4TFAE-22,4 The Fallen,3/4/2022
,Louisville Slugger,SP4TFAE-23,4 The Fallen USA 2.0,8/17/2022
,Louisville Slugger,SPEWSAE-23,TPZ Everett Williams USA,8/17/2022
,Louisville Slugger,SPGAPAE-24,TPS Genesis 2 pc USA EL Andy Purcell,5/13/2023
,Louisville Slugger,SPGBTSAB-24,Genesis 2pc USA Baseball Town SMU Bal,5/13/2023
,Louisville Slugger,SPGBTUB-23,Genesis,9/3/2022
,Louisville Slugger,SPGDSAE-24,TPS Genesis 2pc USA EL Dan Sanchez,5/13/2023
,Louisville Slugger,SPGENAE-22,Genesis 2pc,3/4/2022
,Louisville Slugger,SPGEWAE-24,Genesis 2pc USA EL Everett Williams,5/13/2023
,Louisville Slugger,SPGTMAP-24,Genesis 2 pc USA EL Tyler Marshburn,5/13/2023
,Louisville Slugger,SPINRAE-22,TPZ Intertia-EL,3/4/2022
,Louisville Slugger,SPINRAE-23,TPZ Inertia - BAL,8/17/2022
,Louisville Slugger,SPTMSAE-23,TPZ Tyler Marshburn USA,8/17/2022
,Louisville Slugger,SPTPS2AMAE-26,2026 TPS 2PC EL USA AM,2/16/2026
,Louisville Slugger,SPTPS2CATAE-26,2026 TPS 2PC CATALYST USA,2/13/2026
,Louisville Slugger,SPTPS2FRAB-26,2026 TPS 2PC BAL USA FR,2/16/2026
,Louisville Slugger,SPTPS2JTFAP-26,2026 TPS 2PC PL USA JTF,2/16/2026
,Louisville Slugger,SPTPSAE-21,TPS ASA EL,3/4/2022
,Louisville Slugger,SPTPZAB-21,TPZ ASA BAL,3/4/2022
,Louisville Slugger,SPTPZAB-22,TPZ ASA BAL,3/4/2022
,Louisville Slugger,SPTPZAE-20,TPZ ASA EL,3/4/2022
,Louisville Slugger,SPTPZAE-22,TPZ ASA EL,3/4/2022
,Louisville Slugger,SPTZAE-20,TPZ,7/19/2019
,Louisville Slugger,SPVOLAE-22,TPZ Voltage-EL,3/4/2022
,Louisville Slugger,TPS H2,,12/18/2008
,Louisville Slugger,TPSD,Dynasty,8/19/2008
,Louisville Slugger,TPSR,Ritch's Superior/TPS PowerDome,8/19/2008
,Louisville Slugger,WB125SB,,3/18/2015
,Louisville Slugger,WBL26110102534,Genesis 2Pc.,3/4/2022
,Louisville Slugger,WBL26110102634,Genesis 2Pc.,3/4/2022
,Louisville Slugger,WBL26110102734,Genesis 2Pc.,3/4/2022
,Louisville Slugger,WBL26110102834,Genesis 2Pc.,3/4/2022
,Louisville Slugger,WBL261201025534,4 The Fallen,3/4/2022
,Louisville Slugger,WBL261201026534,4 The Fallen,3/4/2022
,Louisville Slugger,WBL261201027534,4 The Fallen,3/4/2022
,Louisville Slugger,WTLCFPLX180V-CSTM,LXT Custom,6/24/2023
,Louisville Slugger,WTLCFPLX181V-CSTM,LXT Custom,6/24/2023
,Louisville Slugger,WTLCFPLX188V-CSTM,LXT Custom,6/24/2023
,Louisville Slugger,WTLCFPLX189V-CSTM,LXT Custom,6/24/2023
,Louisville Slugger,WTLCFPPX180V-CSTM,PXT Custom,6/24/2023
,Louisville Slugger,WTLCFPPX188V-CSTM,PXT Custom,6/24/2023
,Louisville Slugger,WTLCFPPX189V-CSTM,PXT Custom,6/24/2023
,Louisville Slugger,WTLCLX170V,LXT HYPER - Custom (-10),3/29/2016
,Louisville Slugger,WTLCLX171V,LXT HYPER - Custom (-11),3/29/2016
,Louisville Slugger,WTLCLX179V,LXT HYPER - Custom (-9),3/29/2016
,Louisville Slugger,WTLCLX78V,LXT HYPER - Custom (-8),3/29/2016
,Louisville Slugger,WTLCNXA17B,Nexus,3/21/2017
,Louisville Slugger,WTLCNXA18B,Nexus,12/13/2017
,Louisville Slugger,WTLFPDV171,Diva,2/12/2016
,Louisville Slugger,WTLFPLX170,LXT Hyper (-10),7/26/2016
,Louisville Slugger,WTLFPLX171,LXT Hyper (-11),7/26/2016
,Louisville Slugger,WTLFPLX178,LXT Hyper (-8),7/26/2016
,Louisville Slugger,WTLFPLX179,LXT HYPER (-9),7/26/2016
,Louisville Slugger,WTLFPLX18A10,LXT -10,10/10/2018
,Louisville Slugger,WTLFPLX18A11,LXT -11,3/21/2017
,Louisville Slugger,WTLFPLX18A8,LXT -8,3/21/2017
,Louisville Slugger,WTLFPLX18A9,LXT -9,3/21/2017
,Louisville Slugger,WTLFPLX190V-CSTM,LXT X19 -10 Custom,3/18/2019
,Louisville Slugger,WTLFPLX191V-CSTM,LXT X19 -11 Custom,3/18/2019
,Louisville Slugger,WTLFPLX198V-CSTM,LXT X19 -8 Custom,3/18/2019
,Louisville Slugger,WTLFPLX199V-CSTM,LXT X19 -9 Custom,3/18/2019
,Louisville Slugger,WTLFPLX19A10,LXT X19 (-10),6/24/2023
,Louisville Slugger,WTLFPLX19A11,LXT X19 (-11),3/18/2019
,Louisville Slugger,WTLFPLX19A12,LXT X19 (-12),6/24/2023
,Louisville Slugger,WTLFPLX19A8,LXT X19 (-8),3/18/2019
,Louisville Slugger,WTLFPLX19A9,LXT X19 (-9),3/18/2019
,Louisville Slugger,WTLFPPX18A10,PXT -10,3/21/2017
,Louisville Slugger,WTLFPPX18A8,PXT -8,6/24/2023
,Louisville Slugger,WTLFPPX18A9,PXT -9,3/21/2017
,Louisville Slugger,WTLFPPX190V-CSTM,PXT X19 -10 Custom,3/18/2019
,Louisville Slugger,WTLFPPX198V-CSTM,PXT X19 -8 Custom,3/18/2019
,Louisville Slugger,WTLFPPX199V-CSTM,PXT X19 -9 Custom,3/18/2019
,Louisville Slugger,WTLFPPX19A10,PXT X19 (-10),3/18/2019
,Louisville Slugger,WTLFPPX19A8,PXT X19 (-8),3/18/2019
,Louisville Slugger,WTLFPPX19A9,PXT X19 (-9),3/18/2019
,Louisville Slugger,WTLFPQS172,Quest,2/12/2016
,Louisville Slugger,WTLFPX219A12,X12 (-12),3/18/2019
,Louisville Slugger,WTLFPXN170,Xeno Plus (-10),7/26/2016
,Louisville Slugger,WTLFPXN171,Xeno Plus (-11),2/12/2016
,Louisville Slugger,WTLFPXN178,Xeno Plus (-8),7/26/2016
,Louisville Slugger,WTLFPXN179,Xeno Plus (-9),7/26/2016
,Louisville Slugger,WTLFPXN18A10,Xeno -10,3/21/2017
,Louisville Slugger,WTLFPXN18A11,Xeno -11,3/21/2017
,Louisville Slugger,WTLFPXN18A8,Xeno -8,3/21/2017
,Louisville Slugger,WTLFPXN18A9,Xeno -9,3/21/2017
,Louisville Slugger,WTLFPXN19A10,Xeno X19 (-10),3/18/2019
,Louisville Slugger,WTLFPXN19A11,Xeno X19 (-11),3/18/2019
,Louisville Slugger,WTLFPXN19A8,Xeno X19 (-8),3/18/2019
,Louisville Slugger,WTLFPXN19A9,Xeno X19 (-9),3/18/2019
,Louisville Slugger,WTLFPXNW*A10,Xeno Platinum,12/13/2017
,Louisville Slugger,WTLFPXNW8A10,LTD Xeno Whiteout (-10),3/4/2022
,Louisville Slugger,WTLFPXT172,X12,2/12/2016
,Louisville Slugger,WTLLFPX18A10,PXT X18 - LTD ICE (-10),3/18/2019
,Louisville Slugger,WTLLZ4A17P,Z4 Power Load,12/13/2017
,Louisville Slugger,WTLSBSOA16B,SOLO,7/26/2016
,Louisville Slugger,WTLSMDVD1A115,Diva (-11.5),12/4/2018
,Louisville Slugger,WTLSMDVD2A115,Diva (-11.5),12/4/2018
,Louisville Slugger,WTLSZA16B,Super Z Balanced,2/12/2016
,Louisville Slugger,WTLSZA16E,Super Z End Load,2/12/2016
,Louisville Slugger,WTLSZA17E,Super Z - End Load,3/21/2017
,Louisville Slugger,WTLSZA17E,Super Z End Load,11/23/2016
,Louisville Slugger,WTLTPSA19P,TPS,2/25/2019
,Louisville Slugger,WTLXXLA16B,XXL,7/26/2016
,Louisville Slugger,WTLZ4A16B,Z4 Balanced,2/12/2016
,Louisville Slugger,WTLZ4A16E,Z4 End Load,2/12/2016
,Louisville Slugger,WTLZ4A17B,Z4 Balanced,11/23/2016
,Louisville Slugger,WTLZ4A17E,Z4 End Load,11/23/2016
,MacGregor,MCX10SB,,8/13/2008
,MacGregor,MCX6SB,,8/13/2008
,MacGregor,X10SB,,8/13/2008
,MacGregor,X9SB,,8/13/2008
,Marucci,MFPAS8-33,ASURA,3/24/2025
,Marucci,MFPAS9-33,ASURA,3/24/2025
,Marucci,MFP138,,3/22/2013
,Marucci,MFP139,,3/22/2013
,Marucci,MFP1410,Marucci,8/19/2025
,Marucci,MFPAS10-28,Asura -10,2/25/2025
,Marucci,MFPAS10-29,Asura -10,2/25/2025
,Marucci,MFPAS10-30,Asura -10,2/25/2025
,Marucci,MFPAS10-31,Asura -10,2/25/2025
,Marucci,MFPAS10-32,Asura -11,2/25/2025
,Marucci,MFPAS10-33,Asura -10,2/25/2025
,Marucci,MFPAS10-34,Asura -10,2/25/2025
,Marucci,MFPAS10O-28,Asura -10,11/18/2025
,Marucci,MFPAS10O-29,Asura -10,11/18/2025
,Marucci,MFPAS10O-30,Asura -10,11/18/2025
,Marucci,MFPAS10O-31,Asura -10,11/18/2025
,Marucci,MFPAS10O-32,Asura -10,11/18/2025
,Marucci,MFPAS10O-33,Asura -10,11/18/2025
,Marucci,MFPAS10O-33.5,Asura -10,3/29/2026
,Marucci,MFPAS10O-34,Asura -10,11/18/2025
,Marucci,MFPAS10P-28,Asura -10,11/18/2025
,Marucci,MFPAS10P-29,Asura -10,11/18/2025
,Marucci,MFPAS10P-30,Asura -10,11/18/2025
,Marucci,MFPAS10P-31,Asura -10,11/18/2025
,Marucci,MFPAS10P-32,Asura -10,11/18/2025
,Marucci,MFPAS10P-33,Asura -10,11/18/2025
,Marucci,MFPAS10P-33.5,Asura -10,3/29/2026
,Marucci,MFPAS10P-34,Asura -10,11/18/2025
,Marucci,MFPAS11-28,Asura -11,2/25/2025
,Marucci,MFPAS11-29,Asura -11,2/25/2025
,Marucci,MFPAS11-30,Asura -11,2/25/2025
,Marucci,MFPAS11-31,Asura -11,2/25/2025
,Marucci,MFPAS11-32,Asura -11,2/25/2025
,Marucci,MFPAS11-33,Asura -11,2/25/2025
,Marucci,MFPAS11O-28,Asura -11,11/18/2025
,Marucci,MFPAS11O-29,Asura -11,11/18/2025
,Marucci,MFPAS11O-30,Asura -11,11/18/2025
,Marucci,MFPAS11O-31,Asura -11,11/18/2025
,Marucci,MFPAS11O-32,Asura -11,11/18/2025
,Marucci,MFPAS11O-33,Asura -11,11/18/2025
,Marucci,MFPAS11P-28,Asura -11,11/18/2025
,Marucci,MFPAS11P-29,Asura -11,11/18/2025
,Marucci,MFPAS11P-30,Asura -11,11/18/2025
,Marucci,MFPAS11P-31,Asura -11,11/18/2025
,Marucci,MFPAS11P-32,Asura -11,11/18/2025
,Marucci,MFPAS11P-33,Asura-11,11/18/2025
,Marucci,MFPAS8-34,ASURA,3/24/2025
,Marucci,MFPAS9-34,ASURA,3/24/2025
,Marucci,MFPAS9P-33,Asura -9,11/18/2025
,Marucci,MFPAS9P-33.5,Asura -9,3/29/2026
,Marucci,MFPAS9P-34,Asura -9,11/18/2025
,Marucci,MFPASA12,Marucci Asura Alloy -12,5/25/2026
,Marucci,MFPASL10-28,Asura Lux-10,10/20/2025
,Marucci,MFPASL10-29,Asura Lux-10,10/20/2025
,Marucci,MFPASL10-30,Asura Lux-10,10/20/2025
,Marucci,MFPASL10-31,Asura Lux -10,10/13/2025
,Marucci,MFPASL10-32,Asura Lux -10,10/13/2025
,Marucci,MFPASL10-32.5,Asura Lux-10,3/29/2026
,Marucci,MFPASL10-33,Asura Lux -10,10/13/2025
,Marucci,MFPASL10-33.5,Asura Lux-10,3/29/2026
,Marucci,MFPASL10-34,Asura Lux -10,10/13/2025
,Marucci,MFPASL11-28,Asura Lux -11,10/20/2025
,Marucci,MFPASL11-29,Asura Lux -11,10/20/2025
,Marucci,MFPASL11-30,Asura Lux -11,10/20/2025
,Marucci,MFPASL11-31,Asura Lux -11,11/11/2025
,Marucci,MFPASL11-32,AsuraLux -11,10/20/2025
,Marucci,MFPASL11-33,Asura Lux -11,11/11/2025
,Marucci,MFPASL8-33,Asura Lux -8,10/13/2025
,Marucci,MFPASL8-33.5,Asura Lux -8,3/29/2026
,Marucci,MFPASL8-34,Asura Lux -8,10/13/2025
,Marucci,MFPASL9-32,Asura Lux -9,10/20/2025
,Marucci,MFPASL9-32.5,Asura Lux -9,3/29/2026
,Marucci,MFPASL9-33,Asura Lux -9,10/13/2025
,Marucci,MFPASL9-33.5,Asura Lux -9,3/29/2026
,Marucci,MFPASL9-34,Asura Lux -9,10/13/2025
,Marucci,MFPASLR10-28,Asura Lux Rise-10,3/27/2026
,Marucci,MFPASLR10-29,Asura Lux Rise-10,3/27/2026
,Marucci,MFPASLR10-30,Asura Lux Rise-10,3/27/2026
,Marucci,MFPASLR10-31,Asura Lux Rise-10,3/27/2026
,Marucci,MFPASLR10-32,Asura Lux Rise-10,3/26/2026
,Marucci,MFPASLR10-32.5,Asura Lux Rise-10,3/29/2026
,Marucci,MFPASLR10-33,Asura Lux Rise-10,3/26/2026
,Marucci,MFPASLR10-33.5,Asura Lux Rise-10,3/29/2026
,Marucci,MFPASLR10-34,Asura Lux Rise-10,3/26/2026
,Marucci,MFPASLR11-28,Asura Lux Rise-11,3/27/2026
,Marucci,MFPASLR11-29,Asura Lux Rise-11,3/27/2026
,Marucci,MFPASLR11-30,Asura Lux Rise-11,3/27/2026
,Marucci,MFPASLR11-31,Asura Lux Rise-11,3/27/2026
,Marucci,MFPASLR11-32,Asura Lux Rise-11,3/27/2026
,Marucci,MFPASLR11-33,Asura Lux Rise-11,3/27/2026
,Marucci,MFPASLR8-33,Asura Lux Rise-8,3/26/2026
,Marucci,MFPASLR8-33.5,Asura Lux Rise-8,3/29/2026
,Marucci,MFPASLR8-34,Asura Lux Rise-8,3/26/2026
,Marucci,MFPASLR9-32,Asura Lux Rise-9,3/26/2026
,Marucci,MFPASLR9-32.5,Asura Lux Rise-9,3/29/2026
,Marucci,MFPASLR9-33,Asura Lux Rise-9,3/26/2026
,Marucci,MFPASLR9-33.5,Asura Lux Rise-9,3/29/2026
,Marucci,MFPASLR9-34,Asura Lux Rise-9,3/26/2026
,Marucci,MFPASR10-28,Asura Rise -10,3/27/2026
,Marucci,MFPASR10-29,Asura Rise -10,3/27/2026
,Marucci,MFPASR10-30,Asura Rise -10,3/27/2026
,Marucci,MFPASR10-31,Asura Rise -10,3/27/2026
,Marucci,MFPASR10-32,Asura Rise -10,3/24/2026
,Marucci,MFPASR10-32.5,Asura Rise-10,3/29/2026
,Marucci,MFPASR10-33,Asura Rise -10,3/24/2026
,Marucci,MFPASR10-33.5,Asura Rise-10,3/29/2026
,Marucci,MFPASR10-34,Asura Rise -10,3/24/2026
,Marucci,MFPASR11-28,Asura Rise -11,3/27/2026
,Marucci,MFPASR11-29,Asura Rise -11,3/27/2026
,Marucci,MFPASR11-30,Asura Rise -11,3/27/2026
,Marucci,MFPASR11-31,Asura Rise -11,3/27/2026
,Marucci,MFPASR11-32,Asura Rise -11,3/27/2026
,Marucci,MFPASR11-33,Asura Rise -11,3/24/2026
,Marucci,MFPASR8-33,Asura Rise -8,3/24/2026
,Marucci,MFPASR8-33.5,Asura Rise-8,3/29/2026
,Marucci,MFPASR8-34,Asura Rise -8,3/24/2026
,Marucci,MFPASR9-32,Asura Rise -9,3/27/2026
,Marucci,MFPASR9-32.5,Asura Rise-9,3/29/2026
,Marucci,MFPASR9-33,Asura Rise -9,3/24/2026
,Marucci,MFPASR9-33.5,Asura Rise-9,3/29/2026
,Marucci,MFPASR9-34,Asura Rise -9,3/24/2026
,Marucci,MFPC710,Cat FX,7/7/2017
,Marucci,MFPC79,Cat FX,7/7/2017
,Marucci,MFPCC710,Cat FX Connect,7/7/2017
,Marucci,MFPCC711,Cat FX Connect,7/7/2017
,Marucci,MFPCC79,Cat FX Connect,7/7/2017
,Marucci,MFPE10,Echo,11/27/2019
,Marucci,MFPE11,Echo,6/22/2020
,Marucci,MFPE8,Echo,11/27/2019
,Marucci,MFPE8,ECHO,6/27/2023
,Marucci,MFPE9,ECHO,6/27/2023
,Marucci,MFPEAD12,Echo Alloy DMND -12,4/15/2022
,Marucci,MFPEC10,Echo Connect,11/27/2019
,Marucci,MFPEC11,Echo Connect,9/14/2020
,Marucci,MFPEC8,ECHO Connect,6/27/2023
,Marucci,MFPEC9,ECHO Connect,6/27/2023
,Marucci,MFPECD10,Echo Connect DMND,4/15/2022
,Marucci,MFPECD11,Echo Connect DMND -11,6/22/2024
,Marucci,MFPECD210,Echo Connect DMND -10 Gen 2,10/22/2023
,Marucci,MFPECD211-28,Echo Connect DMND -11 Gen 2,6/22/2024
,Marucci,MFPECD211-29,ECHO CONNECT DMND2 -11 (29),11/18/2025
,Marucci,MFPECD211-30,ECHO CONNECT DMND2 -11 (30),6/22/2024
,Marucci,MFPECD211-31,ECHO CONNECT DMND2 -11 (31),6/22/2024
,Marucci,MFPECD211-32,ECHO CONNECT DMND2 -11 (32),7/4/2024
,Marucci,MFPECD211-33,ECHO CONNECT DMND2 -11 (33),7/4/2024
,Marucci,MFPECD28,Echo Connect DMND -8 Gen 2,10/22/2023
,Marucci,MFPECD29,Echo Connect DMND -9 Gen 2,10/22/2023
,Marucci,MFPECD8,Echo Connect DMND,4/15/2022
,Marucci,MFPECD9,Echo Connect DMND,4/15/2022
,Marucci,MFPECDS28,Echo Connect DMND Speed -8 Gen 2,10/22/2023
,Marucci,MFPECDS29,Echo Connect DMND Speed -9 Gen 2,10/22/2023
,Marucci,MFPECDS8,Echo Connect DMND Speed,8/18/2022
,Marucci,MFPECDS8C,ECHO CONNECT DMND SPEED -8 GEN 2,10/14/2024
,Marucci,MFPECDS9,Echo Connect DMND Speed,8/18/2022
,Marucci,MFPECDS9C,ECHO CONNECT DMND SPEED -9 GEN 2,10/14/2024
,Marucci,MFPECDSV28,ECHO Connect DMND Speed -8 Gen 2,12/22/2023
,Marucci,MFPECDSV29,ECHO Connect DMND Speed -9 Gen 2,12/22/2023
,Marucci,MFPECDV210,ECHO Connect DMND -10 Gen 2,12/22/2023
