USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Anarchy Bats,ASPFGHT24A,CRUSH CANCER,10/22/2024
,Anarchy Bats,ASPFH26A,ALWAYS HUMBLE,5/6/2026
,Anarchy Bats,ASPFH26A-H,ALWAYS HUMBLE (HEAVY),5/6/2026
,Anarchy Bats,ASPFIRE25A,FIRESTICK,7/30/2025
,Anarchy Bats,ASPFM25A,LIP MONEY 2,4/4/2025
,Anarchy Bats,ASPFMBAL25A,FLIP MONEY BALANCED,4/4/2025
,Anarchy Bats,ASPFRSH26A,FRESH,1/27/2026
,Anarchy Bats,ASPFS26A,FREE SMOKE,5/6/2026
,Anarchy Bats,ASPGLD25A,CHILD CANCER,1/27/2026
,Anarchy Bats,ASPGOAT25A,GOAT,7/30/2025
,Anarchy Bats,ASPGOATB25A,GOAT BALANCED,7/30/2025
,Anarchy Bats,ASPGOD26A,GOD MODE,1/27/2026
,Anarchy Bats,ASPGOOS25A,GOOSETOWN (A3),4/4/2025
,Anarchy Bats,ASPGROO25A,GROOVY,2/18/2025
,Anarchy Bats,ASPGRP25A-1,BAZOOKA GRAPE,4/4/2025
,Anarchy Bats,ASPHAD25A,HADES,2/18/2025
,Anarchy Bats,ASPHAHA24A,JOKER,7/27/2024
,Anarchy Bats,ASPHAHA25A,JOKER,7/30/2025
,Anarchy Bats,ASPHEF26A,TOO HEFTY,5/6/2026
,Anarchy Bats,ASPHEF2SA,TOO HEFTY,7/30/2025
,Anarchy Bats,ASPHUM26A,ALWAYS HUMBLE,1/27/2026
,Anarchy Bats,ASPJEST24A,JESTER,10/22/2024
,Anarchy Bats,ASPJL26A,J&L SPORTS GREY,5/6/2026
,Anarchy Bats,ASPJLB26A,J&L SPORTS WHITE ( balanceed),5/6/2026
,Anarchy Bats,ASPJOK25A,JOKER,7/30/2025
,Anarchy Bats,ASPKEEP25A,KEEP GOING,4/4/2025
,Anarchy Bats,ASPKEEP26U,KEEP GOING,5/6/2026
,Anarchy Bats,ASPKS25A,KILLSHOT,4/4/2025
,Anarchy Bats,ASPLC26,FLIP LC,4/10/2026
,Anarchy Bats,ASPLEM26A,LEMONHEAD,5/6/2026
,Anarchy Bats,ASPLUV26A,ALL LOVE,1/27/2026
,Anarchy Bats,ASPMAN25A,MANIC,4/4/2025
